application_id,first_name,last_name,email,phone,annual_income,loan_amount,loan_type,dealer_id,has_coapplicant,coapplicant_name,coapplicant_income,state,zip_code,submitted_at
27,Jenna,Moore,dmora@example.net,001-333-608-4875,48397.26,21408.99,Personal Loan,D003,False,,,HI,94020,2026-01-29T14:36:15
28,Samuel,Myers,kingrachel@example.org,525.506.1848x1180,136491.87,16582.17,Home Improvement Loan,D003,True,Patricia Taylor,42762.01,WA,67279,2025-11-22T02:06:36
29,Kimberly,Olson,arroyorichard@example.net,+1-321-577-2437x890,126341.92,43175.8,Auto Loan,D001,True,Richard Garcia,46513.95,RI,53432,2026-04-18T13:21:25
30,Steven,Patel,kevin93@example.com,5449894961,110016.68,14201.2,Auto Loan,D002,True,Mark Young,29219.67,MO,98219,2025-12-23T11:15:49
31,Steven,Brown,bailey50@example.com,326-204-7824,92553.26,20787.97,Personal Loan,D004,True,Erica Norman,31046.94,CO,63316,2025-10-03T06:57:59
32,Ashley,Good,travisfox@example.org,435.288.0565x98489,110519.56,35901.26,Home Improvement Loan,D003,True,Erin Ramos,54621.68,ND,70839,2025-07-28T00:19:41
33,James,Fisher,lhenderson@example.net,6705176450,85348.27,3522.46,Home Improvement Loan,D001,True,Julian Smith,30571.52,AS,24142,2025-10-24T20:28:59
34,Robert,Hoover,joseph89@example.com,(384)480-9933x990,38836.33,24983.19,Auto Loan,D004,False,,,PW,15333,2026-04-30T21:30:42
35,Molly,Boone,timothy15@example.com,357-722-9886,30510.93,19113.07,Personal Loan,D004,True,Kristen Rivera,45569.54,HI,93875,2025-06-04T14:54:59
36,Sabrina,Murphy,davidortiz@example.org,(468)314-6984,147845.01,20542.4,Home Improvement Loan,D001,False,,,NC,64078,2026-04-22T18:01:04
37,Carol,Mcdonald,mlee@example.org,001-832-358-8496x04131,61701.41,10139.41,Auto Loan,D004,True,William Atkinson,16078.21,NH,53014,2025-07-13T00:19:27
38,Thomas,Tate,scottsteve@example.com,306-633-4688x56166,86572.1,12098.29,Home Improvement Loan,D001,False,,,WA,32806,2026-03-20T20:42:26
39,Whitney,Shaw,cruzsara@example.com,001-419-946-6052x30235,71684.36,26369.82,Auto Loan,D004,False,,,WI,05664,2025-08-07T18:34:42
40,Christina,Smith,gcarlson@example.com,909.346.1859x354,115578.1,11244.51,Personal Loan,D003,False,,,VA,81410,2025-10-20T03:38:49
41,Shawn,Brandt,gillmichelle@example.org,001-701-373-2548x519,49711.5,9572.79,Home Improvement Loan,D002,False,,,PA,53354,2026-03-07T07:09:18
42,Jason,Armstrong,amanda66@example.org,879-300-4784,149512.98,48305.55,Auto Loan,D003,False,,,KY,62839,2025-10-30T01:47:40
43,Cory,Patton,emilyjackson@example.net,(378)484-4335x465,64073.87,18111.27,Auto Loan,D004,False,,,RI,77056,2026-03-11T23:37:08
44,Christopher,Armstrong,jonathanjohnson@example.com,001-735-661-4737x69358,135321.24,39213.9,Auto Loan,D001,False,,,PR,49556,2026-01-21T08:01:56
45,Emily,Norman,zmathis@example.org,203-940-8957x542,41011.73,45029.16,Auto Loan,D004,False,,,MT,25717,2025-11-04T10:10:03
46,Jonathan,Thornton,valenciawilliam@example.net,697.772.6172,33191.3,33511.59,Personal Loan,D002,True,Jason Davis,46564.89,KY,43197,2026-05-02T01:58:56
47,Christy,Porter,haley43@example.net,5309618158,78295.14,49728.42,Home Improvement Loan,D002,True,Jennifer Whitney,36150.98,MI,82589,2026-02-05T02:44:36
48,Michael,Rowe,michael40@example.com,353.836.1533x762,117043.88,32832.01,Home Improvement Loan,D004,False,,,FL,75473,2026-05-14T01:32:53
49,Derrick,Washington,xclark@example.org,(457)819-3913x423,93880.12,5590.06,Auto Loan,D002,False,,,MI,43182,2026-03-09T15:02:27
50,Robert,Meyer,jeffery95@example.org,384.418.3629x959,51718.65,48677.52,Personal Loan,D004,False,,,LA,81075,2026-03-02T03:54:04
